"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"245","15.269658","1.9.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"261","16.469894","1.9.1","host","USB","72","0000270000000000","URB_INTERRUPT in"
"265","16.709442","1.9.1","host","USB","72","0000270000000000","URB_INTERRUPT in"
"269","17.325622","1.9.1","host","USB","72","0000260000000000","URB_INTERRUPT in"
"285","18.837754","1.9.1","host","USB","72","0000200000000000","URB_INTERRUPT in"
"289","19.405783","1.9.1","host","USB","72","0000050000000000","URB_INTERRUPT in"
"305","20.685264","1.9.1","host","USB","72","0000240000000000","URB_INTERRUPT in"
"309","21.445500","1.9.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"331","23.493782","1.9.1","host","USB","72","00001f0000000000","URB_INTERRUPT in"
"335","24.085503","1.9.1","host","USB","72","0000250000000000","URB_INTERRUPT in"
"345","25.245546","1.9.1","host","USB","72","00001e0000000000","URB_INTERRUPT in"
"361","27.317313","1.9.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"371","27.541917","1.9.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"375","28.221077","1.9.1","host","USB","72","0000270000000000","URB_INTERRUPT in"
"385","29.213657","1.9.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"395","30.197089","1.9.1","host","USB","72","0000200000000000","URB_INTERRUPT in"
"405","30.741420","1.9.1","host","USB","72","0000270000000000","URB_INTERRUPT in"
"409","31.341361","1.9.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"419","31.525361","1.9.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"543","51.909928","1.9.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"553","52.741376","1.9.1","host","USB","72","0000200000000000","URB_INTERRUPT in"
"563","53.517265","1.9.1","host","USB","72","0000210000000000","URB_INTERRUPT in"
"567","54.213910","1.9.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"577","55.269275","1.9.1","host","USB","72","0000260000000000","URB_INTERRUPT in"
"587","55.733206","1.9.1","host","USB","72","0000230000000000","URB_INTERRUPT in"
"591","56.253803","1.9.1","host","USB","72","0000200000000000","URB_INTERRUPT in"
"595","56.461343","1.9.1","host","USB","72","0000210000000000","URB_INTERRUPT in"
"611","57.573460","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"613","57.757368","1.9.1","host","USB","72","0200300000000000","URB_INTERRUPT in"
"615","57.813670","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"631","59.981354","1.9.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"641","60.813734","1.9.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"645","60.925364","1.9.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"649","61.053029","1.9.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"653","61.172990","1.9.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"657","61.285022","1.9.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"661","61.389121","1.9.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"671","61.525270","1.9.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"675","61.781335","1.9.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"679","62.172989","1.9.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"683","62.341188","1.9.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"687","62.469644","1.9.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"697","63.029792","1.9.1","host","USB","72","0000280000000000","URB_INTERRUPT in"
"707","64.509966","1.9.1","host","USB","72","0100000000000000","URB_INTERRUPT in"
"715","64.573471","1.9.1","host","USB","72","0100060000000000","URB_INTERRUPT in"
