"No.","Time","Source","Destination","Protocol","Length","HID Data","Info"
"335","3.345937","1.1.1","host","USB","35","00ff0500ffff0500","URB_INTERRUPT in"
"337","3.346935","1.1.1","host","USB","35","00f60400f6ff0400","URB_INTERRUPT in"
"339","3.347935","1.1.1","host","USB","35","00f90200f9ff0200","URB_INTERRUPT in"
"341","3.348935","1.1.1","host","USB","35","00fd0500fdff0500","URB_INTERRUPT in"
"343","3.349934","1.1.1","host","USB","35","00f60300f6ff0300","URB_INTERRUPT in"
"345","3.350933","1.1.1","host","USB","35","00f90500f9ff0500","URB_INTERRUPT in"
"347","3.351936","1.1.1","host","USB","35","00fa0300faff0300","URB_INTERRUPT in"
"349","3.352933","1.1.1","host","USB","35","00f70100f7ff0100","URB_INTERRUPT in"
"351","3.353934","1.1.1","host","USB","35","00fd0600fdff0600","URB_INTERRUPT in"
"353","3.354935","1.1.1","host","USB","35","00f90400f9ff0400","URB_INTERRUPT in"
"355","3.355935","1.1.1","host","USB","35","00f80400f8ff0400","URB_INTERRUPT in"
"357","3.356934","1.1.1","host","USB","35","00fb0300fbff0300","URB_INTERRUPT in"
"359","3.357934","1.1.1","host","USB","35","00f50300f5ff0300","URB_INTERRUPT in"
"361","3.358935","1.1.1","host","USB","35","00fe0600feff0600","URB_INTERRUPT in"
"363","3.359934","1.1.1","host","USB","35","00f80300f8ff0300","URB_INTERRUPT in"
"365","3.360935","1.1.1","host","USB","35","00f80400f8ff0400","URB_INTERRUPT in"
"367","3.361936","1.1.1","host","USB","35","00fb0300fbff0300","URB_INTERRUPT in"
"369","3.362935","1.1.1","host","USB","35","00fa0500faff0500","URB_INTERRUPT in"
"371","3.363935","1.1.1","host","USB","35","00fa0300faff0300","URB_INTERRUPT in"
"373","3.364934","1.1.1","host","USB","35","00fa0400faff0400","URB_INTERRUPT in"
"375","3.365933","1.1.1","host","USB","35","00f90300f9ff0300","URB_INTERRUPT in"
"377","3.366934","1.1.1","host","USB","35","00fa0400faff0400","URB_INTERRUPT in"
"379","3.367934","1.1.1","host","USB","35","00fa0400faff0400","URB_INTERRUPT in"
"381","3.368934","1.1.1","host","USB","35","00fa0300faff0300","URB_INTERRUPT in"
"383","3.369933","1.1.1","host","USB","35","00fd0400fdff0400","URB_INTERRUPT in"
"385","3.370934","1.1.1","host","USB","35","00f90200f9ff0200","URB_INTERRUPT in"
"387","3.371934","1.1.1","host","USB","35","00fa0200faff0200","URB_INTERRUPT in"
"389","3.372934","1.1.1","host","USB","35","00fa0200faff0200","URB_INTERRUPT in"
"391","3.373934","1.1.1","host","USB","35","00fd0300fdff0300","URB_INTERRUPT in"
"393","3.374935","1.1.1","host","USB","35","00fa0300faff0300","URB_INTERRUPT in"
"395","3.375934","1.1.1","host","USB","35","00fc0300fcff0300","URB_INTERRUPT in"
"397","3.376934","1.1.1","host","USB","35","00fa0300faff0300","URB_INTERRUPT in"
"399","3.377935","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"401","3.378935","1.1.1","host","USB","35","00fa0300faff0300","URB_INTERRUPT in"
"403","3.379935","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"405","3.380934","1.1.1","host","USB","35","00fc0400fcff0400","URB_INTERRUPT in"
"407","3.381934","1.1.1","host","USB","35","00fe0100feff0100","URB_INTERRUPT in"
"409","3.382933","1.1.1","host","USB","35","00fb0200fbff0200","URB_INTERRUPT in"
"411","3.383935","1.1.1","host","USB","35","00fc0300fcff0300","URB_INTERRUPT in"
"413","3.384935","1.1.1","host","USB","35","00fa0200faff0200","URB_INTERRUPT in"
"415","3.385935","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"417","3.386934","1.1.1","host","USB","35","00fe0200feff0200","URB_INTERRUPT in"
"419","3.387934","1.1.1","host","USB","35","00fd0300fdff0300","URB_INTERRUPT in"
"421","3.388934","1.1.1","host","USB","35","00fc0200fcff0200","URB_INTERRUPT in"
"423","3.389934","1.1.1","host","USB","35","00fc0100fcff0100","URB_INTERRUPT in"
"425","3.390933","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"427","3.391935","1.1.1","host","USB","35","00fe0100feff0100","URB_INTERRUPT in"
"429","3.392934","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"431","3.393935","1.1.1","host","USB","35","00fb0200fbff0200","URB_INTERRUPT in"
"433","3.394937","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"435","3.395936","1.1.1","host","USB","35","00fa0100faff0100","URB_INTERRUPT in"
"437","3.396936","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"439","3.397936","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"441","3.398934","1.1.1","host","USB","35","00fe0000feff0000","URB_INTERRUPT in"
"443","3.399935","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"445","3.400934","1.1.1","host","USB","35","00ff0300ffff0300","URB_INTERRUPT in"
"447","3.401935","1.1.1","host","USB","35","00fd0000fdff0000","URB_INTERRUPT in"
"449","3.402934","1.1.1","host","USB","35","00fc0100fcff0100","URB_INTERRUPT in"
"451","3.403935","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"453","3.404934","1.1.1","host","USB","35","0000020000000200","URB_INTERRUPT in"
"455","3.405936","1.1.1","host","USB","35","00f90000f9ff0000","URB_INTERRUPT in"
"457","3.406935","1.1.1","host","USB","35","00fe0300feff0300","URB_INTERRUPT in"
"459","3.407934","1.1.1","host","USB","35","00fe0200feff0200","URB_INTERRUPT in"
"461","3.408934","1.1.1","host","USB","35","00fe0000feff0000","URB_INTERRUPT in"
"463","3.409935","1.1.1","host","USB","35","00ff0300ffff0300","URB_INTERRUPT in"
"465","3.410934","1.1.1","host","USB","35","00fe0000feff0000","URB_INTERRUPT in"
"467","3.411936","1.1.1","host","USB","35","0001030001000300","URB_INTERRUPT in"
"469","3.412936","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"471","3.413936","1.1.1","host","USB","35","00fd0000fdff0000","URB_INTERRUPT in"
"473","3.414934","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"475","3.415934","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"477","3.416934","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"479","3.417935","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"481","3.418934","1.1.1","host","USB","35","00fc0100fcff0100","URB_INTERRUPT in"
"483","3.419934","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"485","3.420935","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"487","3.421936","1.1.1","host","USB","35","00fe0200feff0200","URB_INTERRUPT in"
"489","3.422934","1.1.1","host","USB","35","00fe0100feff0100","URB_INTERRUPT in"
"491","3.423934","1.1.1","host","USB","35","0000020000000200","URB_INTERRUPT in"
"493","3.424934","1.1.1","host","USB","35","00fc0100fcff0100","URB_INTERRUPT in"
"495","3.425935","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"497","3.426934","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"499","3.427936","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"501","3.428936","1.1.1","host","USB","35","00fe0100feff0100","URB_INTERRUPT in"
"503","3.429934","1.1.1","host","USB","35","00fe0100feff0100","URB_INTERRUPT in"
"505","3.430934","1.1.1","host","USB","35","00fe0200feff0200","URB_INTERRUPT in"
"507","3.431935","1.1.1","host","USB","35","00fe0000feff0000","URB_INTERRUPT in"
"509","3.432934","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"511","3.433937","1.1.1","host","USB","35","00fd0000fdff0000","URB_INTERRUPT in"
"513","3.434935","1.1.1","host","USB","35","00fe0300feff0300","URB_INTERRUPT in"
"515","3.435935","1.1.1","host","USB","35","00fd0000fdff0000","URB_INTERRUPT in"
"517","3.436934","1.1.1","host","USB","35","0000020000000200","URB_INTERRUPT in"
"519","3.437934","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"521","3.438935","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"523","3.439934","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"525","3.440934","1.1.1","host","USB","35","00fe0200feff0200","URB_INTERRUPT in"
"527","3.441936","1.1.1","host","USB","35","00fd0000fdff0000","URB_INTERRUPT in"
"529","3.442934","1.1.1","host","USB","35","00fe0100feff0100","URB_INTERRUPT in"
"531","3.443936","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"533","3.444937","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"535","3.445936","1.1.1","host","USB","35","0000010000000100","URB_INTERRUPT in"
"537","3.446934","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"539","3.447934","1.1.1","host","USB","35","00fb0100fbff0100","URB_INTERRUPT in"
"541","3.448934","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"543","3.449935","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"545","3.450934","1.1.1","host","USB","35","00fc0200fcff0200","URB_INTERRUPT in"
"547","3.451937","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"549","3.452934","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"551","3.453935","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"553","3.454934","1.1.1","host","USB","35","00fe0100feff0100","URB_INTERRUPT in"
"555","3.455935","1.1.1","host","USB","35","00fb0100fbff0100","URB_INTERRUPT in"
"557","3.456934","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"559","3.457934","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"561","3.458934","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"563","3.459935","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"565","3.460934","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"567","3.461935","1.1.1","host","USB","35","00fb0200fbff0200","URB_INTERRUPT in"
"569","3.462935","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"571","3.463936","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"573","3.464935","1.1.1","host","USB","35","00fe0300feff0300","URB_INTERRUPT in"
"575","3.465935","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"577","3.466935","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"579","3.467934","1.1.1","host","USB","35","00fc0100fcff0100","URB_INTERRUPT in"
"581","3.468934","1.1.1","host","USB","35","00fc0200fcff0200","URB_INTERRUPT in"
"583","3.469934","1.1.1","host","USB","35","0000030000000300","URB_INTERRUPT in"
"585","3.470934","1.1.1","host","USB","35","00fe0200feff0200","URB_INTERRUPT in"
"587","3.471934","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"589","3.472934","1.1.1","host","USB","35","00fd0100fdff0100","URB_INTERRUPT in"
"591","3.473934","1.1.1","host","USB","35","00ff0300ffff0300","URB_INTERRUPT in"
"593","3.474935","1.1.1","host","USB","35","0000020000000200","URB_INTERRUPT in"
"595","3.475936","1.1.1","host","USB","35","00fc0100fcff0100","URB_INTERRUPT in"
"597","3.476934","1.1.1","host","USB","35","00fc0200fcff0200","URB_INTERRUPT in"
"599","3.477935","1.1.1","host","USB","35","00ff0300ffff0300","URB_INTERRUPT in"
"601","3.478937","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"603","3.479936","1.1.1","host","USB","35","00fe0200feff0200","URB_INTERRUPT in"
"605","3.480935","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"607","3.481936","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"609","3.482934","1.1.1","host","USB","35","0000030000000300","URB_INTERRUPT in"
"611","3.483936","1.1.1","host","USB","35","0000010000000100","URB_INTERRUPT in"
"613","3.484934","1.1.1","host","USB","35","00fd0200fdff0200","URB_INTERRUPT in"
"615","3.485934","1.1.1","host","USB","35","00fe0200feff0200","URB_INTERRUPT in"
"617","3.486934","1.1.1","host","USB","35","00fe0200feff0200","URB_INTERRUPT in"
"619","3.487935","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"621","3.488935","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"623","3.489935","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"625","3.490934","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"627","3.491936","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"629","3.492934","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"631","3.493935","1.1.1","host","USB","35","0000020000000200","URB_INTERRUPT in"
"633","3.494936","1.1.1","host","USB","35","00ff0200ffff0200","URB_INTERRUPT in"
"635","3.495938","1.1.1","host","USB","35","0000010000000100","URB_INTERRUPT in"
"637","3.496935","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"639","3.497937","1.1.1","host","USB","35","00fe0300feff0300","URB_INTERRUPT in"
"641","3.498935","1.1.1","host","USB","35","0000020000000200","URB_INTERRUPT in"
"643","3.499934","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"645","3.500936","1.1.1","host","USB","35","00ff0100ffff0100","URB_INTERRUPT in"
"647","3.501934","1.1.1","host","USB","35","0000010000000100","URB_INTERRUPT in"
